name,description,conditions,difficulty,duration,steps,contraindications
Shavasana (Corpse Pose),Deep relaxation pose that reduces stress and promotes mental calmness,"stress,anxiety,insomnia,fatigue,headache",Easy,10-15 minutes,"1. Lie flat on your back with legs slightly apart. 2. Arms at sides, palms facing up. 3. Close eyes and breathe naturally. 4. Relax each body part systematically. 5. Remain still for 10-15 minutes.","Avoid if pregnant in third trimester, severe back injury"
Balasana (Child's Pose),Gentle resting pose that relieves back pain and calms the mind,"back pain,stress,anxiety,fatigue,headache",Easy,3-5 minutes,"1. Kneel on the floor, sit on your heels. 2. Bend forward, extending arms in front. 3. Rest forehead on the ground. 4. Breathe deeply and relax. 5. Hold for 3-5 minutes.","Avoid if pregnant, knee injury, or diarrhea"
Viparita Karani (Legs-Up-the-Wall),Restorative inversion that improves circulation and reduces swelling,"fatigue,insomnia,anxiety,swelling,headache",Easy,10-15 minutes,"1. Sit sideways next to a wall. 2. Swing legs up the wall as you lie back. 3. Arms at sides, palms up. 4. Relax and breathe deeply. 5. Hold for 10-15 minutes.","Avoid during menstruation, glaucoma, or serious neck/back issues"
Bhujangasana (Cobra Pose),Backbend that strengthens spine and opens chest,"back pain,fatigue,stress,indigestion",Medium,30-60 seconds,"1. Lie on stomach, hands under shoulders. 2. Press palms down, lift chest off ground. 3. Keep elbows slightly bent. 4. Look upward, breathe deeply. 5. Hold for 30-60 seconds.","Avoid if pregnant, have back injury, carpal tunnel, or headache"
Marjaryasana-Bitilasana (Cat-Cow),Gentle flow that increases spine flexibility and relieves tension,"back pain,neck pain,stress,indigestion",Easy,2-3 minutes,"1. Start on hands and knees. 2. Inhale, arch back (Cow). 3. Exhale, round spine (Cat). 4. Flow between poses with breath. 5. Repeat for 2-3 minutes.","Avoid if you have serious neck or back injury"
Paschimottanasana (Seated Forward Bend),Forward fold that calms mind and stretches back,"stress,anxiety,headache,insomnia,fatigue",Medium,1-3 minutes,"1. Sit with legs extended forward. 2. Inhale, lengthen spine. 3. Exhale, fold forward from hips. 4. Reach for feet or shins. 5. Hold for 1-3 minutes.","Avoid if you have back injury, asthma, or diarrhea"
Sukhasana (Easy Pose),Simple seated meditation pose for breathing exercises,"stress,anxiety,fatigue,mental clarity",Easy,5-10 minutes,"1. Sit cross-legged on the floor. 2. Keep spine straight, shoulders relaxed. 3. Hands on knees, palms up or down. 4. Close eyes and focus on breath. 5. Hold for 5-10 minutes.","Use cushion if you have knee or hip issues"
Uttanasana (Standing Forward Bend),Standing fold that relieves stress and stretches hamstrings,"stress,anxiety,headache,insomnia,fatigue",Medium,1-2 minutes,"1. Stand with feet hip-width apart. 2. Exhale, fold forward from hips. 3. Let head hang, relax neck. 4. Hold opposite elbows or touch floor. 5. Hold for 1-2 minutes.","Avoid if you have back injury, low blood pressure, or hamstring injury"
Setu Bandhasana (Bridge Pose),Gentle backbend that energizes and opens chest,"fatigue,anxiety,back pain,headache,insomnia",Medium,30-60 seconds,"1. Lie on back, knees bent, feet flat. 2. Press feet down, lift hips up. 3. Clasp hands under back. 4. Breathe deeply, hold pose. 5. Hold for 30-60 seconds.","Avoid if you have neck injury or are in late pregnancy"
Ananda Balasana (Happy Baby),Hip opener that relieves lower back tension,"back pain,stress,fatigue,hip pain",Easy,1-2 minutes,"1. Lie on back, draw knees to chest. 2. Grab outside edges of feet. 3. Pull knees toward armpits. 4. Rock gently side to side. 5. Hold for 1-2 minutes.","Avoid if pregnant or have knee/neck injury"
Adho Mukha Svanasana (Downward Dog),Energizing inversion that stretches entire body,"fatigue,headache,back pain,stress",Medium,1-3 minutes,"1. Start on hands and knees. 2. Lift hips up and back. 3. Straighten legs, press heels down. 4. Relax head between arms. 5. Hold for 1-3 minutes.","Avoid if you have carpal tunnel, high blood pressure, or late pregnancy"
Matsyasana (Fish Pose),Chest opener that improves breathing and posture,"respiratory issues,fatigue,anxiety,back pain",Medium,30-60 seconds,"1. Lie on back, legs extended. 2. Place hands under hips. 3. Lift chest, arch back. 4. Rest crown of head on floor. 5. Hold for 30-60 seconds.","Avoid if you have serious neck or back injury, high/low blood pressure"
Virabhadrasana I (Warrior I),Standing pose that builds strength and focus,"fatigue,stress,back pain,poor circulation",Medium,30-60 seconds,"1. Step right foot forward into lunge. 2. Turn left foot out 45 degrees. 3. Raise arms overhead. 4. Square hips forward. 5. Hold for 30-60 seconds each side.","Avoid if you have high blood pressure, heart problems, or shoulder injury"
Trikonasana (Triangle Pose),Standing pose that improves digestion and balance,"indigestion,back pain,stress,neck pain",Medium,30-60 seconds,"1. Stand with feet wide apart. 2. Turn right foot out 90 degrees. 3. Extend arms parallel to floor. 4. Reach right hand to shin/floor. 5. Hold for 30-60 seconds each side.","Avoid if you have low blood pressure, diarrhea, or headache"
Pranayama (Breathing Exercise),Controlled breathing that reduces stress and improves focus,"stress,anxiety,high blood pressure,insomnia",Easy,5-10 minutes,"1. Sit comfortably with straight spine. 2. Close eyes and relax. 3. Practice deep abdominal breathing. 4. Inhale for 4 counts, hold for 4. 5. Exhale for 4 counts, repeat.","Avoid forceful breathing if you have respiratory issues or are pregnant"
