name,description,type,conditions,dosage,precautions,side_effects
Acetaminophen (Tylenol),Pain reliever and fever reducer,Analgesic,"headache,fever,muscle pain,toothache",Adults: 500-1000mg every 4-6 hours (max 4000mg/day),"Do not exceed recommended dose. Avoid alcohol. Consult doctor if liver disease. Not for children under 2 without medical advice.","Rare: liver damage (with overdose), allergic reactions, rash"
Ibuprofen (Advil),Anti-inflammatory pain reliever,NSAID,"headache,muscle pain,joint pain,fever,back pain",Adults: 200-400mg every 4-6 hours (max 1200mg/day),"Take with food. Avoid if allergic to NSAIDs. Consult doctor if heart disease, high blood pressure, or stomach ulcers.","Stomach upset, heartburn, dizziness, increased bleeding risk"
Aspirin,Pain reliever and anti-inflammatory,NSAID,"headache,muscle pain,fever,inflammation",Adults: 325-650mg every 4 hours (max 4000mg/day),"Take with food. Not for children under 12. Avoid if allergic to NSAIDs or have bleeding disorders.","Stomach irritation, heartburn, increased bleeding, allergic reactions"
Diphenhydramine (Benadryl),Antihistamine for allergies and sleep aid,Antihistamine,"allergic reactions,insomnia,itching,rash,runny nose",Adults: 25-50mg every 4-6 hours (max 300mg/day),"Causes drowsiness - do not drive. Avoid alcohol. Consult doctor if glaucoma, prostate problems, or breathing issues.","Drowsiness, dry mouth, dizziness, blurred vision, constipation"
Loratadine (Claritin),Non-drowsy allergy relief,Antihistamine,"allergic reactions,runny nose,itching,sneezing",Adults: 10mg once daily,"Generally non-drowsy. Consult doctor if liver or kidney disease. Safe for most people.","Headache, dry mouth, fatigue (rare), nausea"
Cetirizine (Zyrtec),Allergy relief medication,Antihistamine,"allergic reactions,runny nose,itching,hives",Adults: 5-10mg once daily,"May cause mild drowsiness. Avoid alcohol. Consult doctor if kidney disease.","Drowsiness, dry mouth, fatigue, headache"
Omeprazole (Prilosec),Reduces stomach acid production,Proton Pump Inhibitor,"heartburn,acid reflux,indigestion,stomach pain",Adults: 20mg once daily before meal (max 14 days without doctor),"Take before eating. Not for immediate relief. Consult doctor if symptoms persist. May reduce calcium absorption.","Headache, nausea, diarrhea, stomach pain, vitamin B12 deficiency (long-term)"
Ranitidine (Zantac),Reduces stomach acid,H2 Blocker,"heartburn,acid reflux,indigestion",Adults: 75-150mg twice daily,"Take with water. Consult doctor if kidney disease. Not for children under 12 without medical advice.","Headache, constipation, diarrhea, dizziness"
Loperamide (Imodium),Anti-diarrheal medication,Antidiarrheal,diarrhea,Adults: 4mg initially then 2mg after each loose stool (max 8mg/day),"Stay hydrated. Do not use if fever or bloody stools. Consult doctor if symptoms persist beyond 2 days.","Constipation, dizziness, drowsiness, nausea, stomach cramps"
Bismuth Subsalicylate (Pepto-Bismol),Treats upset stomach and diarrhea,Antacid/Antidiarrheal,"nausea,diarrhea,indigestion,heartburn",Adults: 30ml or 2 tablets every 30-60 minutes (max 8 doses/day),"May darken tongue/stool (harmless). Avoid if allergic to aspirin. Not for children with flu or chickenpox.","Black stool/tongue, constipation, nausea, ringing in ears (high doses)"
Meclizine (Dramamine),Prevents motion sickness and vertigo,Antihistamine,"nausea,dizziness,motion sickness,vertigo",Adults: 25-50mg 1 hour before travel,"Causes drowsiness - do not drive. Avoid alcohol. Consult doctor if glaucoma or prostate issues.","Drowsiness, dry mouth, blurred vision, fatigue"
Pseudoephedrine (Sudafed),Nasal decongestant,Decongestant,"nasal congestion,sinus pressure,runny nose",Adults: 60mg every 4-6 hours (max 240mg/day),"May cause insomnia - avoid before bedtime. Consult doctor if high blood pressure, heart disease, or diabetes.","Nervousness, insomnia, dizziness, increased heart rate, dry mouth"
Guaifenesin (Mucinex),Expectorant that loosens mucus,Expectorant,"cough,chest congestion",Adults: 200-400mg every 4 hours (max 2400mg/day),"Drink plenty of water. Consult doctor if cough persists beyond 7 days or is accompanied by fever.","Nausea, vomiting, dizziness, headache, rash"
Dextromethorphan (Robitussin),Cough suppressant,Antitussive,cough,Adults: 10-20mg every 4 hours or 30mg every 6-8 hours (max 120mg/day),"Do not use for chronic cough (smoking, asthma). Avoid alcohol. Consult doctor if cough persists beyond 7 days.","Dizziness, drowsiness, nausea, stomach upset"
Hydrocortisone Cream (1%),Topical anti-inflammatory for skin,Topical Corticosteroid,"rash,itching,eczema,insect bites",Apply thin layer to affected area 2-4 times daily,"For external use only. Do not use on face without medical advice. Stop if irritation worsens.","Skin irritation, burning, dryness, thinning of skin (prolonged use)"
Melatonin,Natural sleep aid supplement,Supplement,insomnia,Adults: 1-5mg 30 minutes before bedtime,"Start with low dose. May cause morning grogginess. Consult doctor if taking other medications.","Drowsiness, headache, dizziness, nausea, vivid dreams"
Calcium Carbonate (Tums),Antacid for heartburn relief,Antacid,"heartburn,acid reflux,indigestion",Adults: 2-4 tablets as needed (max 7500mg/day),"Chew thoroughly. Do not use for more than 2 weeks without medical advice. May interfere with other medications.","Constipation, gas, chalky taste, kidney stones (excessive use)"
Magnesium Citrate,Gentle laxative for constipation,Laxative,constipation,Adults: 1-2 tablets or 240ml liquid at bedtime,"Drink plenty of water. Do not use for more than 1 week. Consult doctor if abdominal pain or nausea.","Diarrhea, abdominal cramping, nausea, electrolyte imbalance (overuse)"
Docusate Sodium (Colace),Stool softener for constipation,Stool Softener,constipation,Adults: 50-300mg daily,"Take with full glass of water. May take 1-3 days to work. Safe for most people including pregnant women.","Stomach cramps, diarrhea, throat irritation, rash"
Zinc Lozenges,Immune support for cold symptoms,Supplement,"cold,sore throat",Adults: 1 lozenge every 2-3 hours while awake (max 6/day),"Start within 24 hours of symptom onset. Do not use for more than 7 days. May cause metallic taste.","Nausea, bad taste, mouth irritation, upset stomach"
